"Dancers by Audition Number"
"69","5","safiye baaten","3","ooof"
"151","6","lene herb","1","ooof"
"87","6","fabian amundsen","4","ooof"
"194","6","تارا قاسمی","2","ooof"
"233","6","alyssa vidal","4","ooof"
"268","6","cassandra mercier","2","ooof"
"13","6","onni manner","4","ooof"
"204","6","mago mendes","4","ooof"
"240","6","jack walker","3","ooof"
"252","6","johan kristensen","2","ooof"
"277","6","lison duval","1","ooof"
"162","7","capucine dumas","2","ooof"
"22","7","katie long","4","ooof"
"200","7","andrea olsen","2","ooof"
"264","7","olivier macdonald","2","ooof"
"2","7","aatu savela","4","ooof"
"231","7","magnus christiansen","1","ooof"
"244","7","tanya mitchelle","4","ooof"
"238","7","calisto rezende","2","ooof"
"Dancers by Audition Number"
"#","Pref","Name","Desired","Dance Name"
"1","4","مهراد علیزاده","1","plswork"
"2","6","aatu savela","4","plswork"
"5","4","flavie meunier","4","plswork"
"6","3","ülkü tunaboylu","2","plswork"
"7","2","elijah wilson","2","plswork"
"10","2","salome roche","1","plswork"
"12","1","batur berberoğlu","3","plswork"
"13","4","onni manner","4","plswork"
"15","7","uta glaß","2","plswork"
"22","5","katie long","4","plswork"
"24","4","valentin mercier","3","plswork"
"25","4","magnus poulsen","3","plswork"
"27","6","cléa fournier","4","plswork"
"32","6","zachary hoffman","1","plswork"
"33","2","tormod nordseth","3","plswork"
"34","2","toni carlson","2","plswork"
"37","4","dwight ellis","2","plswork"
"38","3","alexis gill","2","plswork"
"39","1","elias thomsen","1","plswork"
"40","3","dana howell","3","plswork"
"41","3","ariane caldeira","2","plswork"
"42","4","karen palmer","1","plswork"
"43","1","ceyhan hakyemez","1","plswork"
"45","1","afet adıvar","1","plswork"
"46","4","mariama baelemans","4","plswork"
"47","3","arron holt","2","plswork"
"48","5","lucas larsen","2","plswork"
"50","1","franklin howell","1","plswork"
"51","1","seth rogers","1","plswork"
"53","1","neea nikula","2","plswork"
"54","1","jeppe kristensen","4","plswork"
"57","7","عرشيا پارسا","2","plswork"
"58","4","ymkje van heteren","4","plswork"
"59","6","josefine poulsen","4","plswork"
"60","2","monica garrido","1","plswork"
"61","2","یاسمن نجاتی","1","plswork"
"62","1","محمدمهدی زارعی","1","plswork"
"65","7","david hall","4","plswork"
"67","3","mareile recktenwald","2","plswork"
"70","1","beverly payne","1","plswork"
"72","2","ella hansen","1","plswork"
"77","1","kim williams","1","plswork"
"79","7","milan fernandez","3","plswork"
"82","2","anna ford","2","plswork"
"83","2","vilma lampo","4","plswork"
"86","1","neil gregory","4","plswork"
"87","5","fabian amundsen","4","plswork"
"89","3","carter margaret","1","plswork"
"90","5","gökhan türkdoğan","4","plswork"
"93","3","ben haraldsen","3","plswork"
"95","1","evelyn hall","4","plswork"
"97","4","filino costa","1","plswork"
"98","2","grayson kumar","2","plswork"
"100","5","florian thaler","1","plswork"
"101","3","john clarke","2","plswork"
"103","3","ceyhan bolatlı","4","plswork"
"104","5","ken cunningham","4","plswork"
"106","1","jayden fields","3","plswork"
"109","4","luisa middelveld","1","plswork"
"110","3","edileusa da mota","4","plswork"
"111","1","emil pietila","2","plswork"
"112","4","raquel aguilar","4","plswork"
"113","4","jef sabel","2","plswork"
"114","3","adriana landro","4","plswork"
"115","2","sebastian long","2","plswork"
"116","2","adiel lopes","4","plswork"
"117","3","dwayne welch","1","plswork"
"119","2","melinda nguyen","4","plswork"
"121","7","brecht van veluw","3","plswork"
"122","6","ellen rinne","4","plswork"
"123","6","johanne mortensen","1","plswork"
"124","3","eliza fisher","1","plswork"
"125","2","ava gagné","2","plswork"
"127","2","lily fletcher","4","plswork"
"128","3","edward roberts","3","plswork"
"130","1","stanley nichols","1","plswork"
"131","3","emilio lorenzo","3","plswork"
"132","3","brielle mitchell","4","plswork"
"133","3","efe atan","4","plswork"
"135","3","emre babacan","4","plswork"
"136","3","nick jackson","4","plswork"
"138","1","sebastiana peixoto","1","plswork"
"140","5","wolf-dietrich greve","4","plswork"
"141","1","ellen sullivan","1","plswork"
"142","3","ethan aubert","1","plswork"
"143","3","terra holt","2","plswork"
"144","4","davut erberk","4","plswork"
"145","3","lori castillo","3","plswork"
"148","6","chris miller","4","plswork"
"149","3","judith ross","4","plswork"
"150","1","emil eindhoven","1","plswork"
"151","2","lene herb","1","plswork"
"152","2","edona guerin","4","plswork"
"154","1","oscar taylor","3","plswork"
"155","6","layla roberts","4","plswork"
"156","4","alisa kotila","3","plswork"
"158","2","albin kuch","4","plswork"
"162","6","capucine dumas","2","plswork"
"165","2","alfredo bell","4","plswork"
"169","4","marianne clark","4","plswork"
"171","1","nooa perala","4","plswork"
"172","1","clarence mitchell","2","plswork"
"173","5","victor christensen","1","plswork"
"174","3","Shannen Wu","1","plswork"
"175","7","abílio campos","4","plswork"
"176","1","lotta kauppila","4","plswork"
"181","6","تارا صدر","2","plswork"
"183","1","charles duval","3","plswork"
"184","7","luciano fernandez","4","plswork"
"186","7","randy daniëls","1","plswork"
"187","5","dennis anderson","1","plswork"
"188","2","songül frühauf","4","plswork"
"190","4","sofia tuominen","1","plswork"
"191","2","wendy price","2","plswork"
"193","2","marta fuentes","3","plswork"
"194","5","تارا قاسمی","2","plswork"
"200","1","andrea olsen","2","plswork"
"201","1","solange foppen","1","plswork"
"202","2","nesrine van meer","3","plswork"
"204","1","mago mendes","4","plswork"
"205","1","adèle lefevre","4","plswork"
"207","1","dave coleman","1","plswork"
"208","1","jardel vieira","2","plswork"
"210","5","amelia porter","2","plswork"
"214","4","sigurd mohamoud","2","plswork"
"216","1","ece babacan","2","plswork"
"219","2","fletcher jackson","4","plswork"
"220","1","eve roux","3","plswork"
"221","5","ülkü poyrazoğlu","4","plswork"
"222","2","maxime ross","4","plswork"
"223","4","salvador cox","4","plswork"
"224","1","luca gjønnes","2","plswork"
"225","1","oscar diaz","4","plswork"
"227","4","bently white","2","plswork"
"228","3","tracey walters","2","plswork"
"229","1","johanne madsen","2","plswork"
"230","5","jessica garcia","4","plswork"
"231","4","magnus christiansen","1","plswork"
"233","4","alyssa vidal","4","plswork"
"236","1","shelly simmmons","4","plswork"
"238","5","calisto rezende","2","plswork"
"239","2","valon leroy","4","plswork"
"242","4","felix park","4","plswork"
"244","6","tanya mitchelle","4","plswork"
"245","2","gregorio saez","1","plswork"
"248","4","bridget moraes","1","plswork"
"250","5","ismael marquez","1","plswork"
"252","5","johan kristensen","2","plswork"
"254","3","bernice beck","3","plswork"
"257","6","beau hall","4","plswork"
"258","1","پارمیس یاسمی","3","plswork"
"259","2","kim vidal","2","plswork"
"260","3","thomas dubois","2","plswork"
"262","2","janet larson","3","plswork"
"263","4","samuel brussé","4","plswork"
"264","6","olivier macdonald","2","plswork"
"267","2","vildan poyrazoğlu","4","plswork"
"268","4","cassandra mercier","2","plswork"
"271","2","emily anderson","3","plswork"
"274","3","judith philippe","4","plswork"
"275","1","olivia johansen","2","plswork"
"277","7","lison duval","1","plswork"
"279","5","dorothe thormann","3","plswork"
"280","4","marli rijkens","2","plswork"
"282","6","begüm karabulut","2","plswork"
"285","1","اميرعلي قاسمی","3","plswork"
"287","2","danny kelley","3","plswork"
"288","4","amandine dupont","3","plswork"
"290","4","sara hubert","4","plswork"
"293","2","olímpia da rosa","1","plswork"
"296","1","sienna walker","2","plswork"
"297","1","kris buskens","1","plswork"
"298","3","pablo arnaud","1","plswork"
"300","3","ahmed unger","3","plswork"
"Dancers by Pref"
"#","Pref","Name","Desired","Dance Name"
"95","1","evelyn hall","4","plswork"
"176","1","lotta kauppila","4","plswork"
"183","1","charles duval","3","plswork"
"12","1","batur berberoğlu","3","plswork"
"297","1","kris buskens","1","plswork"
"296","1","sienna walker","2","plswork"
"172","1","clarence mitchell","2","plswork"
"171","1","nooa perala","4","plswork"
"285","1","اميرعلي قاسمی","3","plswork"
"275","1","olivia johansen","2","plswork"
"200","1","andrea olsen","2","plswork"
"154","1","oscar taylor","3","plswork"
"150","1","emil eindhoven","1","plswork"
"39","1","elias thomsen","1","plswork"
"201","1","solange foppen","1","plswork"
"43","1","ceyhan hakyemez","1","plswork"
"45","1","afet adıvar","1","plswork"
"204","1","mago mendes","4","plswork"
"50","1","franklin howell","1","plswork"
"51","1","seth rogers","1","plswork"
"53","1","neea nikula","2","plswork"
"54","1","jeppe kristensen","4","plswork"
"141","1","ellen sullivan","1","plswork"
"258","1","پارمیس یاسمی","3","plswork"
"205","1","adèle lefevre","4","plswork"
"138","1","sebastiana peixoto","1","plswork"
"62","1","محمدمهدی زارعی","1","plswork"
"130","1","stanley nichols","1","plswork"
"70","1","beverly payne","1","plswork"
"207","1","dave coleman","1","plswork"
"77","1","kim williams","1","plswork"
"208","1","jardel vieira","2","plswork"
"216","1","ece babacan","2","plswork"
"220","1","eve roux","3","plswork"
"86","1","neil gregory","4","plswork"
"236","1","shelly simmmons","4","plswork"
"229","1","johanne madsen","2","plswork"
"111","1","emil pietila","2","plswork"
"106","1","jayden fields","3","plswork"
"225","1","oscar diaz","4","plswork"
"224","1","luca gjønnes","2","plswork"
"262","2","janet larson","3","plswork"
"98","2","grayson kumar","2","plswork"
"7","2","elijah wilson","2","plswork"
"83","2","vilma lampo","4","plswork"
"219","2","fletcher jackson","4","plswork"
"115","2","sebastian long","2","plswork"
"116","2","adiel lopes","4","plswork"
"119","2","melinda nguyen","4","plswork"
"82","2","anna ford","2","plswork"
"239","2","valon leroy","4","plswork"
"72","2","ella hansen","1","plswork"
"125","2","ava gagné","2","plswork"
"127","2","lily fletcher","4","plswork"
"245","2","gregorio saez","1","plswork"
"61","2","یاسمن نجاتی","1","plswork"
"60","2","monica garrido","1","plswork"
"259","2","kim vidal","2","plswork"
"222","2","maxime ross","4","plswork"
"202","2","nesrine van meer","3","plswork"
"267","2","vildan poyrazoğlu","4","plswork"
"271","2","emily anderson","3","plswork"
"151","2","lene herb","1","plswork"
"152","2","edona guerin","4","plswork"
"34","2","toni carlson","2","plswork"
"33","2","tormod nordseth","3","plswork"
"193","2","marta fuentes","3","plswork"
"158","2","albin kuch","4","plswork"
"191","2","wendy price","2","plswork"
"165","2","alfredo bell","4","plswork"
"188","2","songül frühauf","4","plswork"
"287","2","danny kelley","3","plswork"
"293","2","olímpia da rosa","1","plswork"
"10","2","salome roche","1","plswork"
"145","3","lori castillo","3","plswork"
"101","3","john clarke","2","plswork"
"131","3","emilio lorenzo","3","plswork"
"132","3","brielle mitchell","4","plswork"
"133","3","efe atan","4","plswork"
"135","3","emre babacan","4","plswork"
"136","3","nick jackson","4","plswork"
"103","3","ceyhan bolatlı","4","plswork"
"41","3","ariane caldeira","2","plswork"
"300","3","ahmed unger","3","plswork"
"142","3","ethan aubert","1","plswork"
"143","3","terra holt","2","plswork"
"298","3","pablo arnaud","1","plswork"
"110","3","edileusa da mota","4","plswork"
"6","3","ülkü tunaboylu","2","plswork"
"149","3","judith ross","4","plswork"
"254","3","bernice beck","3","plswork"
"38","3","alexis gill","2","plswork"
"114","3","adriana landro","4","plswork"
"47","3","arron holt","2","plswork"
"89","3","carter margaret","1","plswork"
"117","3","dwayne welch","1","plswork"
"260","3","thomas dubois","2","plswork"
"93","3","ben haraldsen","3","plswork"
"274","3","judith philippe","4","plswork"
"228","3","tracey walters","2","plswork"
"124","3","eliza fisher","1","plswork"
"67","3","mareile recktenwald","2","plswork"
"40","3","dana howell","3","plswork"
"174","3","Shannen Wu","1","plswork"
"128","3","edward roberts","3","plswork"
"112","4","raquel aguilar","4","plswork"
"1","4","مهراد علیزاده","1","plswork"
"13","4","onni manner","4","plswork"
"169","4","marianne clark","4","plswork"
"190","4","sofia tuominen","1","plswork"
"156","4","alisa kotila","3","plswork"
"290","4","sara hubert","4","plswork"
"288","4","amandine dupont","3","plswork"
"24","4","valentin mercier","3","plswork"
"144","4","davut erberk","4","plswork"
"25","4","magnus poulsen","3","plswork"
"280","4","marli rijkens","2","plswork"
"214","4","sigurd mohamoud","2","plswork"
"113","4","jef sabel","2","plswork"
"5","4","flavie meunier","4","plswork"
"109","4","luisa middelveld","1","plswork"
"223","4","salvador cox","4","plswork"
"227","4","bently white","2","plswork"
"97","4","filino costa","1","plswork"
"231","4","magnus christiansen","1","plswork"
"233","4","alyssa vidal","4","plswork"
"37","4","dwight ellis","2","plswork"
"268","4","cassandra mercier","2","plswork"
"242","4","felix park","4","plswork"
"42","4","karen palmer","1","plswork"
"263","4","samuel brussé","4","plswork"
"248","4","bridget moraes","1","plswork"
"46","4","mariama baelemans","4","plswork"
"58","4","ymkje van heteren","4","plswork"
"210","5","amelia porter","2","plswork"
"90","5","gökhan türkdoğan","4","plswork"
"230","5","jessica garcia","4","plswork"
"173","5","victor christensen","1","plswork"
"279","5","dorothe thormann","3","plswork"
"22","5","katie long","4","plswork"
"238","5","calisto rezende","2","plswork"
"187","5","dennis anderson","1","plswork"
"221","5","ülkü poyrazoğlu","4","plswork"
"140","5","wolf-dietrich greve","4","plswork"
"194","5","تارا قاسمی","2","plswork"
"104","5","ken cunningham","4","plswork"
"250","5","ismael marquez","1","plswork"
"252","5","johan kristensen","2","plswork"
"100","5","florian thaler","1","plswork"
"48","5","lucas larsen","2","plswork"
"87","5","fabian amundsen","4","plswork"
"257","6","beau hall","4","plswork"
"162","6","capucine dumas","2","plswork"
"264","6","olivier macdonald","2","plswork"
"244","6","tanya mitchelle","4","plswork"
"181","6","تارا صدر","2","plswork"
"32","6","zachary hoffman","1","plswork"
"27","6","cléa fournier","4","plswork"
"59","6","josefine poulsen","4","plswork"
"122","6","ellen rinne","4","plswork"
"282","6","begüm karabulut","2","plswork"
"123","6","johanne mortensen","1","plswork"
"2","6","aatu savela","4","plswork"
"148","6","chris miller","4","plswork"
"155","6","layla roberts","4","plswork"
"121","7","brecht van veluw","3","plswork"
"57","7","عرشيا پارسا","2","plswork"
"65","7","david hall","4","plswork"
"79","7","milan fernandez","3","plswork"
"277","7","lison duval","1","plswork"
"15","7","uta glaß","2","plswork"
"186","7","randy daniëls","1","plswork"
"184","7","luciano fernandez","4","plswork"
"175","7","abílio campos","4","plswork"
"Dancers by Audition Number"
"#","Pref","Name","Desired","Dance Name"
"1","6","مهراد علیزاده","1","bs"
"2","4","aatu savela","4","bs"
"3","1","hilário da luz","2","bs"
"5","5","flavie meunier","4","bs"
"6","1","ülkü tunaboylu","2","bs"
"11","2","onur karabulut","4","bs"
"12","4","batur berberoğlu","3","bs"
"13","3","onni manner","4","bs"
"15","6","uta glaß","2","bs"
"16","2","norbert hau","4","bs"
"21","1","enrique ferguson","1","bs"
"22","3","katie long","4","bs"
"27","3","cléa fournier","4","bs"
"28","2","ivonne kallenbach","2","bs"
"30","1","sara christiansen","1","bs"
"31","2","craig howard","3","bs"
"32","2","zachary hoffman","1","bs"
"35","5","neil smythe","3","bs"
"36","2","avery bergeron","1","bs"
"37","2","dwight ellis","2","bs"
"38","4","alexis gill","2","bs"
"39","2","elias thomsen","1","bs"
"40","1","dana howell","3","bs"
"41","5","ariane caldeira","2","bs"
"46","5","mariama baelemans","4","bs"
"49","4","julia lammi","4","bs"
"54","2","jeppe kristensen","4","bs"
"57","3","عرشيا پارسا","2","bs"
"58","2","ymkje van heteren","4","bs"
"59","3","josefine poulsen","4","bs"
"64","1","sofia andersen","2","bs"
"65","3","david hall","4","bs"
"67","1","mareile recktenwald","2","bs"
"68","1","brad medina","3","bs"
"69","4","safiye baaten","3","bs"
"71","2","ellie murray","1","bs"
"72","1","ella hansen","1","bs"
"74","1","mathias larsen","1","bs"
"75","4","mario montero","1","bs"
"79","3","milan fernandez","3","bs"
"81","1","frank olson","1","bs"
"83","6","vilma lampo","4","bs"
"85","4","ella manninen","1","bs"
"86","3","neil gregory","4","bs"
"87","1","fabian amundsen","4","bs"
"88","1","رونیکا احمدی","1","bs"
"89","2","carter margaret","1","bs"
"90","1","gökhan türkdoğan","4","bs"
"92","6","sharon jimenez","2","bs"
"93","1","ben haraldsen","3","bs"
"94","1","judith ford","1","bs"
"95","4","evelyn hall","4","bs"
"100","2","florian thaler","1","bs"
"104","6","ken cunningham","4","bs"
"105","4","daniel morel","4","bs"
"108","1","milton grant","3","bs"
"109","3","luisa middelveld","1","bs"
"110","2","edileusa da mota","4","bs"
"112","1","raquel aguilar","4","bs"
"113","2","jef sabel","2","bs"
"114","1","adriana landro","4","bs"
"115","1","sebastian long","2","bs"
"119","5","melinda nguyen","4","bs"
"121","4","brecht van veluw","3","bs"
"122","5","ellen rinne","4","bs"
"124","4","eliza fisher","1","bs"
"127","1","lily fletcher","4","bs"
"128","2","edward roberts","3","bs"
"131","1","emilio lorenzo","3","bs"
"132","4","brielle mitchell","4","bs"
"133","2","efe atan","4","bs"
"136","2","nick jackson","4","bs"
"137","1","daniel kristensen","4","bs"
"140","1","wolf-dietrich greve","4","bs"
"142","1","ethan aubert","1","bs"
"143","1","terra holt","2","bs"
"145","1","lori castillo","3","bs"
"146","2","arthur davies","1","bs"
"148","7","chris miller","4","bs"
"149","4","judith ross","4","bs"
"151","4","lene herb","1","bs"
"154","3","oscar taylor","3","bs"
"155","5","layla roberts","4","bs"
"156","2","alisa kotila","3","bs"
"157","2","rebecca johnson","2","bs"
"158","6","albin kuch","4","bs"
"162","5","capucine dumas","2","bs"
"164","1","jonathan evans","4","bs"
"171","4","nooa perala","4","bs"
"173","2","victor christensen","1","bs"
"174","1","Shannen Wu","1","bs"
"175","3","abílio campos","4","bs"
"176","5","lotta kauppila","4","bs"
"179","4","nicole arnold","3","bs"
"181","5","تارا صدر","2","bs"
"182","1","beau martin","4","bs"
"184","2","luciano fernandez","4","bs"
"185","1","susie grant","1","bs"
"186","2","randy daniëls","1","bs"
"189","3","kristine kupfer","3","bs"
"190","3","sofia tuominen","1","bs"
"192","1","margie hopkins","2","bs"
"193","3","marta fuentes","3","bs"
"194","4","تارا قاسمی","2","bs"
"195","1","agnita haandrikman","2","bs"
"196","1","alice jones","4","bs"
"197","1","آدرینا جعفری","1","bs"
"199","1","emily walker","1","bs"
"200","2","andrea olsen","2","bs"
"201","4","solange foppen","1","bs"
"202","1","nesrine van meer","3","bs"
"204","5","mago mendes","4","bs"
"205","7","adèle lefevre","4","bs"
"206","3","oscar singh","2","bs"
"210","2","amelia porter","2","bs"
"211","1","ülkü alnıaçık","4","bs"
"213","3","rachel masson","2","bs"
"214","3","sigurd mohamoud","2","bs"
"218","1","olander lerøy","1","bs"
"220","4","eve roux","3","bs"
"221","1","ülkü poyrazoğlu","4","bs"
"222","4","maxime ross","4","bs"
"225","3","oscar diaz","4","bs"
"227","6","bently white","2","bs"
"230","4","jessica garcia","4","bs"
"231","5","magnus christiansen","1","bs"
"233","2","alyssa vidal","4","bs"
"234","6","daniel french","1","bs"
"235","1","olivia lehtonen","2","bs"
"236","3","shelly simmmons","4","bs"
"237","3","alexander taylor","3","bs"
"238","3","calisto rezende","2","bs"
"240","1","jack walker","3","bs"
"242","2","felix park","4","bs"
"244","2","tanya mitchelle","4","bs"
"248","5","bridget moraes","1","bs"
"249","1","vlado fink","3","bs"
"250","2","ismael marquez","1","bs"
"254","2","bernice beck","3","bs"
"257","2","beau hall","4","bs"
"258","3","پارمیس یاسمی","3","bs"
"259","3","kim vidal","2","bs"
"260","2","thomas dubois","2","bs"
"263","3","samuel brussé","4","bs"
"264","4","olivier macdonald","2","bs"
"267","1","vildan poyrazoğlu","4","bs"
"268","2","cassandra mercier","2","bs"
"272","2","alicia lo","4","bs"
"277","3","lison duval","1","bs"
"278","3","neea heikkila","3","bs"
"279","2","dorothe thormann","3","bs"
"280","2","marli rijkens","2","bs"
"281","1","mikal våge","4","bs"
"283","2","diane peters","1","bs"
"288","5","amandine dupont","3","bs"
"290","2","sara hubert","4","bs"
"291","1","lindalva moreira","1","bs"
"292","2","sylwia engels","1","bs"
"298","1","pablo arnaud","1","bs"
"300","5","ahmed unger","3","bs"
"302","1","Spikey Hedgehog","2","bs"
"Dancers by Pref"
"#","Pref","Name","Desired","Dance Name"
"131","1","emilio lorenzo","3","bs"
"302","1","Spikey Hedgehog","2","bs"
"298","1","pablo arnaud","1","bs"
"6","1","ülkü tunaboylu","2","bs"
"240","1","jack walker","3","bs"
"235","1","olivia lehtonen","2","bs"
"221","1","ülkü poyrazoğlu","4","bs"
"218","1","olander lerøy","1","bs"
"21","1","enrique ferguson","1","bs"
"211","1","ülkü alnıaçık","4","bs"
"202","1","nesrine van meer","3","bs"
"199","1","emily walker","1","bs"
"30","1","sara christiansen","1","bs"
"197","1","آدرینا جعفری","1","bs"
"196","1","alice jones","4","bs"
"291","1","lindalva moreira","1","bs"
"195","1","agnita haandrikman","2","bs"
"192","1","margie hopkins","2","bs"
"185","1","susie grant","1","bs"
"40","1","dana howell","3","bs"
"182","1","beau martin","4","bs"
"174","1","Shannen Wu","1","bs"
"164","1","jonathan evans","4","bs"
"267","1","vildan poyrazoğlu","4","bs"
"145","1","lori castillo","3","bs"
"143","1","terra holt","2","bs"
"64","1","sofia andersen","2","bs"
"142","1","ethan aubert","1","bs"
"67","1","mareile recktenwald","2","bs"
"68","1","brad medina","3","bs"
"140","1","wolf-dietrich greve","4","bs"
"72","1","ella hansen","1","bs"
"74","1","mathias larsen","1","bs"
"137","1","daniel kristensen","4","bs"
"81","1","frank olson","1","bs"
"281","1","mikal våge","4","bs"
"3","1","hilário da luz","2","bs"
"87","1","fabian amundsen","4","bs"
"88","1","رونیکا احمدی","1","bs"
"127","1","lily fletcher","4","bs"
"90","1","gökhan türkdoğan","4","bs"
"115","1","sebastian long","2","bs"
"93","1","ben haraldsen","3","bs"
"94","1","judith ford","1","bs"
"114","1","adriana landro","4","bs"
"112","1","raquel aguilar","4","bs"
"108","1","milton grant","3","bs"
"249","1","vlado fink","3","bs"
"39","2","elias thomsen","1","bs"
"279","2","dorothe thormann","3","bs"
"113","2","jef sabel","2","bs"
"100","2","florian thaler","1","bs"
"280","2","marli rijkens","2","bs"
"244","2","tanya mitchelle","4","bs"
"242","2","felix park","4","bs"
"89","2","carter margaret","1","bs"
"128","2","edward roberts","3","bs"
"11","2","onur karabulut","4","bs"
"133","2","efe atan","4","bs"
"136","2","nick jackson","4","bs"
"250","2","ismael marquez","1","bs"
"71","2","ellie murray","1","bs"
"233","2","alyssa vidal","4","bs"
"254","2","bernice beck","3","bs"
"58","2","ymkje van heteren","4","bs"
"146","2","arthur davies","1","bs"
"272","2","alicia lo","4","bs"
"257","2","beau hall","4","bs"
"268","2","cassandra mercier","2","bs"
"156","2","alisa kotila","3","bs"
"157","2","rebecca johnson","2","bs"
"292","2","sylwia engels","1","bs"
"54","2","jeppe kristensen","4","bs"
"173","2","victor christensen","1","bs"
"283","2","diane peters","1","bs"
"16","2","norbert hau","4","bs"
"210","2","amelia porter","2","bs"
"260","2","thomas dubois","2","bs"
"290","2","sara hubert","4","bs"
"184","2","luciano fernandez","4","bs"
"110","2","edileusa da mota","4","bs"
"186","2","randy daniëls","1","bs"
"200","2","andrea olsen","2","bs"
"28","2","ivonne kallenbach","2","bs"
"37","2","dwight ellis","2","bs"
"31","2","craig howard","3","bs"
"36","2","avery bergeron","1","bs"
"32","2","zachary hoffman","1","bs"
"225","3","oscar diaz","4","bs"
"193","3","marta fuentes","3","bs"
"189","3","kristine kupfer","3","bs"
"27","3","cléa fournier","4","bs"
"259","3","kim vidal","2","bs"
"258","3","پارمیس یاسمی","3","bs"
"206","3","oscar singh","2","bs"
"263","3","samuel brussé","4","bs"
"22","3","katie long","4","bs"
"213","3","rachel masson","2","bs"
"214","3","sigurd mohamoud","2","bs"
"175","3","abílio campos","4","bs"
"57","3","عرشيا پارسا","2","bs"
"190","3","sofia tuominen","1","bs"
"154","3","oscar taylor","3","bs"
"59","3","josefine poulsen","4","bs"
"65","3","david hall","4","bs"
"79","3","milan fernandez","3","bs"
"13","3","onni manner","4","bs"
"236","3","shelly simmmons","4","bs"
"237","3","alexander taylor","3","bs"
"238","3","calisto rezende","2","bs"
"86","3","neil gregory","4","bs"
"277","3","lison duval","1","bs"
"278","3","neea heikkila","3","bs"
"109","3","luisa middelveld","1","bs"
"49","4","julia lammi","4","bs"
"149","4","judith ross","4","bs"
"2","4","aatu savela","4","bs"
"69","4","safiye baaten","3","bs"
"151","4","lene herb","1","bs"
"220","4","eve roux","3","bs"
"132","4","brielle mitchell","4","bs"
"222","4","maxime ross","4","bs"
"85","4","ella manninen","1","bs"
"38","4","alexis gill","2","bs"
"230","4","jessica garcia","4","bs"
"194","4","تارا قاسمی","2","bs"
"264","4","olivier macdonald","2","bs"
"95","4","evelyn hall","4","bs"
"171","4","nooa perala","4","bs"
"12","4","batur berberoğlu","3","bs"
"75","4","mario montero","1","bs"
"201","4","solange foppen","1","bs"
"121","4","brecht van veluw","3","bs"
"105","4","daniel morel","4","bs"
"179","4","nicole arnold","3","bs"
"124","4","eliza fisher","1","bs"
"122","5","ellen rinne","4","bs"
"248","5","bridget moraes","1","bs"
"231","5","magnus christiansen","1","bs"
"300","5","ahmed unger","3","bs"
"5","5","flavie meunier","4","bs"
"204","5","mago mendes","4","bs"
"181","5","تارا صدر","2","bs"
"176","5","lotta kauppila","4","bs"
"162","5","capucine dumas","2","bs"
"35","5","neil smythe","3","bs"
"155","5","layla roberts","4","bs"
"41","5","ariane caldeira","2","bs"
"288","5","amandine dupont","3","bs"
"119","5","melinda nguyen","4","bs"
"46","5","mariama baelemans","4","bs"
"92","6","sharon jimenez","2","bs"
"83","6","vilma lampo","4","bs"
"104","6","ken cunningham","4","bs"
"234","6","daniel french","1","bs"
"158","6","albin kuch","4","bs"
"15","6","uta glaß","2","bs"
"227","6","bently white","2","bs"
"1","6","مهراد علیزاده","1","bs"
"148","7","chris miller","4","bs"
"205","7","adèle lefevre","4","bs"
"Dancers by Audition Number"
"#","Pref","Name","Desired","Dance Name"
"2","3","aatu savela","4","async"
"3","2","hilário da luz","2","async"
"5","1","flavie meunier","4","async"
"6","4","ülkü tunaboylu","2","async"
"7","3","elijah wilson","2","async"
"10","1","salome roche","1","async"
"11","3","onur karabulut","4","async"
"13","2","onni manner","4","async"
"15","2","uta glaß","2","async"
"16","4","norbert hau","4","async"
"19","1","suelen fernandes","1","async"
"21","2","enrique ferguson","1","async"
"22","1","katie long","4","async"
"24","2","valentin mercier","3","async"
"25","3","magnus poulsen","3","async"
"27","1","cléa fournier","4","async"
"31","3","craig howard","3","async"
"33","3","tormod nordseth","3","async"
"35","1","neil smythe","3","async"
"36","4","avery bergeron","1","async"
"38","1","alexis gill","2","async"
"40","5","dana howell","3","async"
"42","6","karen palmer","1","async"
"44","1","malthe pedersen","4","async"
"46","6","mariama baelemans","4","async"
"48","2","lucas larsen","2","async"
"49","1","julia lammi","4","async"
"50","2","franklin howell","1","async"
"54","5","jeppe kristensen","4","async"
"55","1","annabelle brar","2","async"
"56","1","eleanor ellis","1","async"
"57","6","عرشيا پارسا","2","async"
"59","5","josefine poulsen","4","async"
"65","5","david hall","4","async"
"71","4","ellie murray","1","async"
"72","3","ella hansen","1","async"
"73","1","ivo hevrøy","2","async"
"79","5","milan fernandez","3","async"
"82","1","anna ford","2","async"
"83","1","vilma lampo","4","async"
"85","1","ella manninen","1","async"
"86","4","neil gregory","4","async"
"87","3","fabian amundsen","4","async"
"88","2","رونیکا احمدی","1","async"
"89","1","carter margaret","1","async"
"90","3","gökhan türkdoğan","4","async"
"92","1","sharon jimenez","2","async"
"93","2","ben haraldsen","3","async"
"95","3","evelyn hall","4","async"
"99","1","indie koeman","1","async"
"100","3","florian thaler","1","async"
"102","2","arron berry","3","async"
"104","1","ken cunningham","4","async"
"105","2","daniel morel","4","async"
"106","3","jayden fields","3","async"
"107","1","peyton butler","1","async"
"108","4","milton grant","3","async"
"109","7","luisa middelveld","1","async"
"110","1","edileusa da mota","4","async"
"112","3","raquel aguilar","4","async"
